latitude_bin,longitude_bin,updated_type,updated_subtype,hour,count
41.64,-87.61,Hazard,On Road,14:00,1
41.64,-87.61,Hazard,On Road,15:00,1
41.64,-87.61,Hazard,On Road,18:00,1
41.65,-87.62,Hazard,On Road,00:00,1
41.65,-87.62,Hazard,On Road,02:00,1
41.65,-87.62,Hazard,On Road,05:00,2
41.65,-87.62,Hazard,On Road,06:00,1
41.65,-87.62,Hazard,On Road,13:00,1
41.65,-87.62,Hazard,On Road,14:00,1
41.65,-87.62,Hazard,On Road,15:00,2
41.65,-87.62,Hazard,On Road,18:00,1
41.65,-87.62,Hazard,On Road,19:00,1
41.65,-87.62,Hazard,On Road,20:00,2
41.65,-87.62,Hazard,On Road,21:00,1
41.65,-87.62,Hazard,On Road,22:00,2
41.65,-87.62,Jam,Unclassified,04:00,1
41.65,-87.62,Road Closed,Unclassified,01:00,1
41.65,-87.61,Hazard,On Road,15:00,1
41.65,-87.61,Hazard,On Road,16:00,4
41.65,-87.61,Hazard,On Road,19:00,5
41.65,-87.61,Hazard,On Road,21:00,1
41.65,-87.61,Hazard,On Road,22:00,1
41.65,-87.61,Jam,Stand Still Traffic,12:00,1
41.65,-87.61,Jam,Unclassified,14:00,1
41.65,-87.61,Jam,Unclassified,15:00,1
41.65,-87.6,Hazard,On Road,15:00,1
41.65,-87.6,Jam,Unclassified,11:00,1
41.65,-87.58,Accident,Major,03:00,1
41.65,-87.58,Accident,Major,04:00,3
41.65,-87.58,Accident,Major,05:00,4
41.65,-87.58,Accident,Major,06:00,1
41.65,-87.58,Accident,Major,07:00,1
41.65,-87.58,Accident,Major,08:00,1
41.65,-87.58,Accident,Major,10:00,2
41.65,-87.58,Accident,Major,13:00,1
41.65,-87.58,Accident,Major,14:00,2
41.65,-87.58,Accident,Major,15:00,2
41.65,-87.58,Accident,Major,16:00,1
41.65,-87.58,Accident,Major,18:00,2
41.65,-87.58,Accident,Major,20:00,3
41.65,-87.58,Accident,Major,21:00,1
41.65,-87.58,Accident,Major,22:00,1
41.65,-87.58,Accident,Minor,05:00,1
41.65,-87.58,Accident,Minor,07:00,2
41.65,-87.58,Accident,Minor,14:00,1
41.65,-87.58,Accident,Minor,16:00,1
41.65,-87.58,Accident,Minor,17:00,1
41.65,-87.58,Accident,Minor,21:00,1
41.65,-87.58,Accident,Unclassified,00:00,3
41.65,-87.58,Accident,Unclassified,01:00,2
41.65,-87.58,Accident,Unclassified,04:00,2
41.65,-87.58,Accident,Unclassified,05:00,3
41.65,-87.58,Accident,Unclassified,06:00,1
41.65,-87.58,Accident,Unclassified,07:00,1
41.65,-87.58,Accident,Unclassified,08:00,1
41.65,-87.58,Accident,Unclassified,10:00,1
41.65,-87.58,Accident,Unclassified,11:00,4
41.65,-87.58,Accident,Unclassified,12:00,2
41.65,-87.58,Accident,Unclassified,13:00,1
41.65,-87.58,Accident,Unclassified,14:00,5
41.65,-87.58,Accident,Unclassified,15:00,2
41.65,-87.58,Accident,Unclassified,16:00,2
41.65,-87.58,Accident,Unclassified,17:00,2
41.65,-87.58,Accident,Unclassified,18:00,4
41.65,-87.58,Accident,Unclassified,19:00,3
41.65,-87.58,Accident,Unclassified,20:00,4
41.65,-87.58,Accident,Unclassified,21:00,3
41.65,-87.58,Accident,Unclassified,22:00,4
41.65,-87.58,Accident,Unclassified,23:00,2
41.65,-87.58,Hazard,On Road,00:00,14
41.65,-87.58,Hazard,On Road,01:00,9
41.65,-87.58,Hazard,On Road,02:00,6
41.65,-87.58,Hazard,On Road,03:00,16
41.65,-87.58,Hazard,On Road,04:00,11
41.65,-87.58,Hazard,On Road,05:00,11
41.65,-87.58,Hazard,On Road,06:00,7
41.65,-87.58,Hazard,On Road,07:00,6
41.65,-87.58,Hazard,On Road,08:00,5
41.65,-87.58,Hazard,On Road,09:00,8
41.65,-87.58,Hazard,On Road,10:00,12
41.65,-87.58,Hazard,On Road,11:00,6
41.65,-87.58,Hazard,On Road,12:00,11
41.65,-87.58,Hazard,On Road,13:00,16
41.65,-87.58,Hazard,On Road,14:00,23
41.65,-87.58,Hazard,On Road,15:00,23
41.65,-87.58,Hazard,On Road,16:00,23
41.65,-87.58,Hazard,On Road,17:00,15
41.65,-87.58,Hazard,On Road,18:00,15
41.65,-87.58,Hazard,On Road,19:00,12
41.65,-87.58,Hazard,On Road,20:00,12
41.65,-87.58,Hazard,On Road,21:00,17
41.65,-87.58,Hazard,On Road,22:00,9
41.65,-87.58,Hazard,On Road,23:00,17
41.65,-87.58,Hazard,On Shoulder,00:00,90
41.65,-87.58,Hazard,On Shoulder,01:00,68
41.65,-87.58,Hazard,On Shoulder,02:00,79
41.65,-87.58,Hazard,On Shoulder,03:00,51
41.65,-87.58,Hazard,On Shoulder,04:00,37
41.65,-87.58,Hazard,On Shoulder,05:00,30
41.65,-87.58,Hazard,On Shoulder,06:00,23
41.65,-87.58,Hazard,On Shoulder,07:00,23
41.65,-87.58,Hazard,On Shoulder,08:00,22
41.65,-87.58,Hazard,On Shoulder,09:00,24
41.65,-87.58,Hazard,On Shoulder,10:00,52
41.65,-87.58,Hazard,On Shoulder,11:00,76
41.65,-87.58,Hazard,On Shoulder,12:00,93
41.65,-87.58,Hazard,On Shoulder,13:00,81
